 #--t=1e4------t=2e4--------t=4e4-------t=6e4------t=8e4-------t=1e5
  0.0000E+00  7.0196E-05  4.2289E-05  3.1311E-05  2.5110E-05  2.0884E-05
  1.0005E-01  7.1382E-05  4.2953E-05  3.1779E-05  2.5474E-05  2.1180E-05
  2.0010E-01  7.5492E-05  4.4999E-05  3.3134E-05  2.6475E-05  2.1958E-05
  3.0015E-01  8.0960E-05  4.7674E-05  3.4886E-05  2.7761E-05  2.2951E-05
  4.0020E-01  8.7445E-05  5.0814E-05  3.6932E-05  2.9256E-05  2.4102E-05
  5.0025E-01  9.4825E-05  5.4358E-05  3.9230E-05  3.0929E-05  2.5386E-05
  6.0030E-01  1.0304E-04  5.8274E-05  4.1758E-05  3.2765E-05  2.6792E-05
  7.0035E-01  1.1207E-04  6.2548E-05  4.4507E-05  3.4755E-05  2.8313E-05
  8.0040E-01  1.2191E-04  6.7172E-05  4.7470E-05  3.6895E-05  2.9945E-05
  9.0045E-01  1.3256E-04  7.2144E-05  5.0645E-05  3.9183E-05  3.1687E-05
  1.0005E+00  1.4402E-04  7.7463E-05  5.4031E-05  4.1617E-05  3.3536E-05
  1.1006E+00  1.5632E-04  8.3134E-05  5.7629E-05  4.4197E-05  3.5493E-05
  1.2006E+00  1.6946E-04  8.9161E-05  6.1439E-05  4.6924E-05  3.7558E-05
  1.3007E+00  1.8349E-04  9.5550E-05  6.5467E-05  4.9800E-05  3.9732E-05
  1.4007E+00  1.9841E-04  1.0231E-04  6.9713E-05  5.2826E-05  4.2015E-05
  1.5008E+00  2.1427E-04  1.0945E-04  7.4184E-05  5.6005E-05  4.4410E-05
  1.6008E+00  2.3109E-04  1.1697E-04  7.8883E-05  5.9339E-05  4.6917E-05
  1.7009E+00  2.4891E-04  1.2490E-04  8.3815E-05  6.2831E-05  4.9539E-05
  1.8009E+00  2.6776E-04  1.3323E-04  8.8987E-05  6.6484E-05  5.2277E-05
  1.9010E+00  2.8769E-04  1.4199E-04  9.4404E-05  7.0303E-05  5.5135E-05
  2.0010E+00  3.0873E-04  1.5118E-04  1.0007E-04  7.4291E-05  5.8114E-05
  2.1011E+00  3.3093E-04  1.6082E-04  1.0600E-04  7.8452E-05  6.1217E-05
  2.2011E+00  3.5433E-04  1.7093E-04  1.1219E-04  8.2790E-05  6.4447E-05
  2.3012E+00  3.7900E-04  1.8151E-04  1.1866E-04  8.7310E-05  6.7808E-05
  2.4012E+00  4.0497E-04  1.9259E-04  1.2540E-04  9.2017E-05  7.1301E-05
  2.5013E+00  4.3230E-04  2.0418E-04  1.3244E-04  9.6915E-05  7.4930E-05
  2.6013E+00  4.6105E-04  2.1630E-04  1.3977E-04  1.0201E-04  7.8699E-05
  2.7014E+00  4.9128E-04  2.2896E-04  1.4741E-04  1.0731E-04  8.2612E-05
  2.8014E+00  5.2304E-04  2.4220E-04  1.5537E-04  1.1281E-04  8.6671E-05
  2.9015E+00  5.5642E-04  2.5601E-04  1.6366E-04  1.1853E-04  9.0881E-05
  3.0015E+00  5.9147E-04  2.7044E-04  1.7228E-04  1.2447E-04  9.5246E-05
  3.1016E+00  6.2826E-04  2.8549E-04  1.8125E-04  1.3064E-04  9.9771E-05
  3.2016E+00  6.6687E-04  3.0119E-04  1.9058E-04  1.3704E-04  1.0446E-04
  3.3017E+00  7.0738E-04  3.1757E-04  2.0027E-04  1.4368E-04  1.0931E-04
  3.4017E+00  7.4986E-04  3.3464E-04  2.1035E-04  1.5056E-04  1.1434E-04
  3.5018E+00  7.9440E-04  3.5244E-04  2.2083E-04  1.5770E-04  1.1954E-04
  3.6018E+00  8.4108E-04  3.7098E-04  2.3171E-04  1.6511E-04  1.2493E-04
  3.7019E+00  8.9000E-04  3.9030E-04  2.4301E-04  1.7278E-04  1.3050E-04
  3.8019E+00  9.4125E-04  4.1042E-04  2.5474E-04  1.8073E-04  1.3627E-04
  3.9020E+00  9.9492E-04  4.3138E-04  2.6692E-04  1.8896E-04  1.4223E-04
  4.0020E+00  1.0511E-03  4.5319E-04  2.7956E-04  1.9749E-04  1.4840E-04
  4.1021E+00  1.1100E-03  4.7590E-04  2.9268E-04  2.0632E-04  1.5478E-04
  4.2021E+00  1.1715E-03  4.9953E-04  3.0630E-04  2.1547E-04  1.6137E-04
  4.3022E+00  1.2359E-03  5.2411E-04  3.2041E-04  2.2494E-04  1.6818E-04
  4.4022E+00  1.3033E-03  5.4968E-04  3.3506E-04  2.3474E-04  1.7521E-04
  4.5023E+00  1.3738E-03  5.7628E-04  3.5024E-04  2.4487E-04  1.8249E-04
  4.6023E+00  1.4475E-03  6.0394E-04  3.6599E-04  2.5537E-04  1.9000E-04
  4.7024E+00  1.5245E-03  6.3269E-04  3.8231E-04  2.6622E-04  1.9776E-04
  4.8024E+00  1.6051E-03  6.6259E-04  3.9922E-04  2.7745E-04  2.0577E-04
  4.9025E+00  1.6892E-03  6.9365E-04  4.1675E-04  2.8906E-04  2.1404E-04
  5.0025E+00  1.7771E-03  7.2593E-04  4.3491E-04  3.0106E-04  2.2258E-04
  5.1026E+00  1.8689E-03  7.5947E-04  4.5372E-04  3.1347E-04  2.3140E-04
  5.2026E+00  1.9647E-03  7.9431E-04  4.7321E-04  3.2630E-04  2.4050E-04
