  2.0775E+02 -6.0605E-02 -4.0158E-01  1.0257E-01 -1.6722E+00
  5.2781E+02 -7.9671E-02 -4.2758E-01  8.1350E-02 -1.5794E+00
  9.0310E+02 -9.2317E-02 -4.4254E-01  6.7988E-02 -1.5252E+00
  1.3195E+03 -1.0183E-01 -4.5318E-01  5.8123E-02 -1.4864E+00
  1.7697E+03 -1.0949E-01 -4.6148E-01  5.0268E-02 -1.4564E+00
  2.2487E+03 -1.1591E-01 -4.6830E-01  4.3725E-02 -1.4318E+00
  2.7532E+03 -1.2145E-01 -4.7410E-01  3.8110E-02 -1.4108E+00
  3.2807E+03 -1.2631E-01 -4.7915E-01  3.3189E-02 -1.3918E+00
  3.8291E+03 -1.3066E-01 -4.8362E-01  2.8804E-02 -1.3764E+00
  4.3970E+03 -1.3458E-01 -4.8764E-01  2.4850E-02 -1.3616E+00
  4.9829E+03 -1.3816E-01 -4.9130E-01  2.1246E-02 -1.3483E+00
  5.5857E+03 -1.4145E-01 -4.9465E-01  1.7936E-02 -1.3364E+00
  6.2044E+03 -1.4450E-01 -4.9774E-01  1.4873E-02 -1.3253E+00
  6.8383E+03 -1.4734E-01 -5.0061E-01  1.2024E-02 -1.3147E+00
  7.4865E+03 -1.5000E-01 -5.0330E-01  9.3597E-03 -1.3050E+00
  8.1485E+03 -1.5249E-01 -5.0582E-01  6.8573E-03 -1.2960E+00
  8.8236E+03 -1.5484E-01 -5.0820E-01  4.4981E-03 -1.2872E+00
  9.5113E+03 -1.5707E-01 -5.1044E-01  2.2662E-03 -1.2784E+00
  1.0211E+04 -1.5918E-01 -5.1258E-01  1.4876E-04 -1.2714E+00
  1.0923E+04 -1.6119E-01 -5.1460E-01 -1.8658E-03 -1.2632E+00
  1.1646E+04 -1.6310E-01 -5.1654E-01 -3.7870E-03 -1.2564E+00
  1.2379E+04 -1.6493E-01 -5.1839E-01 -5.6233E-03 -1.2499E+00
  1.3124E+04 -1.6669E-01 -5.2016E-01 -7.3818E-03 -1.2431E+00
  1.3878E+04 -1.6837E-01 -5.2186E-01 -9.0690E-03 -1.2362E+00
  1.4643E+04 -1.6998E-01 -5.2350E-01 -1.0690E-02 -1.2294E+00
  1.5417E+04 -1.7154E-01 -5.2507E-01 -1.2251E-02 -1.2232E+00
  1.6201E+04 -1.7303E-01 -5.2659E-01 -1.3755E-02 -1.2176E+00
  1.6994E+04 -1.7448E-01 -5.2806E-01 -1.5207E-02 -1.2126E+00
  1.7797E+04 -1.7587E-01 -5.2948E-01 -1.6611E-02 -1.2076E+00
  1.8607E+04 -1.7722E-01 -5.3086E-01 -1.7968E-02 -1.2022E+00
  1.9427E+04 -1.7853E-01 -5.3219E-01 -1.9283E-02 -1.1963E+00
  2.0255E+04 -1.7980E-01 -5.3348E-01 -2.0557E-02 -1.1900E+00
  2.1091E+04 -1.8102E-01 -5.3474E-01 -2.1794E-02 -1.1864E+00
  2.1935E+04 -1.8222E-01 -5.3596E-01 -2.2995E-02 -1.1808E+00
  2.2787E+04 -1.8337E-01 -5.3715E-01 -2.4163E-02 -1.1750E+00
  2.3647E+04 -1.8450E-01 -5.3831E-01 -2.5299E-02 -1.1712E+00
  2.4515E+04 -1.8560E-01 -5.3943E-01 -2.6405E-02 -1.1648E+00
  2.5390E+04 -1.8666E-01 -5.4054E-01 -2.7482E-02 -1.1614E+00
  2.6272E+04 -1.8770E-01 -5.4161E-01 -2.8532E-02 -1.1551E+00
  2.7161E+04 -1.8872E-01 -5.4266E-01 -2.9557E-02 -1.1512E+00
  2.8058E+04 -1.8971E-01 -5.4369E-01 -3.0557E-02 -1.1457E+00
  2.8961E+04 -1.9067E-01 -5.4469E-01 -3.1533E-02 -1.1397E+00
  2.9872E+04 -1.9161E-01 -5.4567E-01 -3.2488E-02 -1.1368E+00
  3.0789E+04 -1.9253E-01 -5.4663E-01 -3.3421E-02 -1.1310E+00
  3.1712E+04 -1.9343E-01 -5.4757E-01 -3.4333E-02 -1.1253E+00
  3.2643E+04 -1.9431E-01 -5.4849E-01 -3.5226E-02 -1.1215E+00
  3.3579E+04 -1.9517E-01 -5.4940E-01 -3.6100E-02 -1.1161E+00
  3.4522E+04 -1.9602E-01 -5.5029E-01 -3.6957E-02 -1.1111E+00
  3.5472E+04 -1.9684E-01 -5.5116E-01 -3.7796E-02 -1.1056E+00
  3.6427E+04 -1.9765E-01 -5.5201E-01 -3.8618E-02 -1.1000E+00
  3.7389E+04 -1.9844E-01 -5.5285E-01 -3.9425E-02 -1.0958E+00
  3.8356E+04 -1.9922E-01 -5.5368E-01 -4.0216E-02 -1.0902E+00
  3.9330E+04 -1.9998E-01 -5.5449E-01 -4.0992E-02 -1.0850E+00
  4.0309E+04 -2.0073E-01 -5.5528E-01 -4.1754E-02 -1.0798E+00
  4.1294E+04 -2.0146E-01 -5.5607E-01 -4.2503E-02 -1.0744E+00
  4.2285E+04 -2.0218E-01 -5.5684E-01 -4.3238E-02 -1.0689E+00
  4.3281E+04 -2.0288E-01 -5.5760E-01 -4.3961E-02 -1.0633E+00
  4.4283E+04 -2.0358E-01 -5.5835E-01 -4.4671E-02 -1.0576E+00
